filename,N,custom_medcouple,statsmodels_medcouple,SE,my_time,sm_time
gamma4,10000,0.3104614410641170,0.31046147181011300,0.000000000000000945316270032016,0.3116172500012910,1.0744306370033900
gamma3,1000,0.338713066624133,0.33871360774264300,0.00000000000029280924186462,0.01731897401623430,0.018482015002518900
rand53,53,0.42634980681266200,0.42634980681266200,0.00000000000000000,0.0008516539819538590,0.0005079050024505710
gamma2,100,0.325163189085984,0.32532740492661300,0.0000000269668423134891,0.0013595469936262800,0.00021259798086248300
unif3,1000,-0.01225843141826010,-0.012258026993148900,0.000000000000163559670569132,0.04050389098119920,0.0021488280035555400
unif4,10000,-0.0006108355751078210,-0.000610813261986665,0.000000000000000497875375722335,0.46417761300108400,0.7442277380032470
unif2,100,0.020967573022643100,0.021198294353074100,0.000000053232332316,0.0017682370089460200,0.0002099999983329330
men,50165,0.12000000000000000,0.12,0,1.1813534680113700,57.700060238014000
women,21551,0.23076923076923100,0.23076923076923100,0.00000000000000000,0.37753429598524200,3.2185683050192900
rand51,51,0.36295265892515200,0.3631155473448700,0.0000000265326372782273,0.00269947198103182,0.0018359719833824800
RMSE,,,,0.000103311310958516,,
